"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/16 1:23:08 PM GMT-3","31 a 40","Feminino","Mato Grosso (MT)","Superior completo","Não","Não","Tamal","Sim","Milho cozido e milho branco","Não","Sim","",""
"2024/05/16 1:23:26 PM GMT-3","41 a 50","Feminino","Distrito Federal (DF)","Mestrado/Doutourado","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:23:40 PM GMT-3","18 a 30","Feminino","Rondônia (RO)","Superior incompleto","Não sei dizer","Não","Chicha morada;Choripán","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:24:01 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Ensino médio completo","Não sei dizer","Não","Tamal","Sim","Milho cozido e milho branco","Não","Sim","",""
"2024/05/16 1:26:35 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Choripán","Sim","Milho amarelo e milho branco","não lembro ","Sim","",""
"2024/05/16 1:27:03 PM GMT-3","18 a 30","Masculino","Mato Grosso (MT)","Superior completo","Não","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Pamonha ","Sim","",""
"2024/05/16 1:27:19 PM GMT-3","51 a 60","Feminino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:28:00 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Poke","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:28:13 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Ensino médio completo","Não","Sim","Chicha morada","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 1:29:29 PM GMT-3","51 a 60","Feminino","Mato Grosso (MT)","Superior completo","Não","Sim","Chicha morada;Ceviche","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 1:30:13 PM GMT-3","51 a 60","Masculino","Mato Grosso (MT)","Superior completo","Sim","Sim","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:31:25 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não sei dizer","Não","Choripán","Sim","Milho amarelo e milho branco","Não sei dizer na verdade ","Sim","",""
"2024/05/16 1:34:40 PM GMT-3","31 a 40","Masculino","Minas Gerais (MG)","Mestrado/Doutourado","Não","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Acho que sim, mas não sei qual é.","Talvez","",""
"2024/05/16 1:35:40 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:38:15 PM GMT-3","41 a 50","Feminino","Mato Grosso (MT)","Superior completo","Não","Sim","Chicha morada","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:41:08 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Não","Sim","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:43:37 PM GMT-3","31 a 40","Feminino","São Paulo (SP)","Superior completo","Não","Não","Chicha morada;Choripán;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:44:19 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Superior incompleto","Não","Não","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:46:01 PM GMT-3","51 a 60","Feminino","Mato Grosso (MT)","Ensino médio completo","Não","Sim","Poke","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:48:48 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:53:26 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior incompleto","Sim","Não","Chicha morada;Poke;Tamal","Sim","Milho roxo e milho torrado","Não","Talvez","",""
"2024/05/16 1:53:28 PM GMT-3","18 a 30","Masculino","Paraná (PR)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:53:29 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não","Não","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","nao sei","Sim","",""
"2024/05/16 1:54:07 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Mestrado/Doutourado","Não","Não","Chicha morada;Choripán","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:54:10 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Sim","Sim","Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 1:54:10 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Não sei dizer","Sim","Sushi;Ceviche;Choripán","Sim","Milho roxo e milho amarelo","Comidas derivadas do milho, como pamonha e diversas receitas que tem pães recheados.","Sim","",""
"2024/05/16 1:55:40 PM GMT-3","41 a 50","Feminino","Mato Grosso (MT)","Superior incompleto","Não","Sim","Chicha morada;Poke;Choripán","Sim","Milho roxo e milho amarelo","Milho cozido e vários derivados a base de milho ","Sim","",""
